timestamp, name, uuid, driver_version, pstate, temperature.gpu, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/14 07:01:19.973, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 112.09 W, 37 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:01:20.975, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 33, 78.11 W, 0 %, 0 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:01:21.977, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 33, 125.57 W, 35 %, 25 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:01:22.980, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 34, 125.69 W, 37 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:01:23.982, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 34, 126.03 W, 37 %, 27 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:01:24.984, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 34, 125.89 W, 36 %, 26 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:01:25.987, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 32, 95.23 W, 0 %, 0 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:01:26.989, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 33, 96.85 W, 36 %, 25 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:01:27.990, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 34, 123.30 W, 34 %, 24 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
2026/09/14 07:01:28.992, NVIDIA GeForce RTX 4090, GPU-aa7f7166-9ea5-7f29-fdcd-564e63997805, 570.195.03, P0, 34, 122.96 W, 35 %, 25 %, 8658 MiB, 24564 MiB, 2520 MHz, 10501 MHz
